S No.,Value Date,Transaction Date,Withdrawal Amount(INR),Deposit Amount(INR),Balance(INR),
269,"27,04,2025","27,04,2025",0.00,500.00,200395.32,
270,"28,04,2025","28,04,2025",14499.00,0.00,185896.32,
271,"30,04,2025","01,05,2025",0.00,555977.00,741873.32,
272,"01,05,2025","01,05,2025",2000.00,0.00,739873.32,
273,"02,05,2025","02,05,2025",19000.00,0.00,720873.32,
274,"03,05,2025","03,05,2025",600.00,0.00,720273.32,
275,"03,05,2025","03,05,2025",50.00,0.00,720223.32,
276,"03,05,2025","03,05,2025",5.00,0.00,720218.32,
277,"04,05,2025","04,05,2025",599.00,0.00,719619.32,
278,"04,05,2025","04,05,2025",1696.00,0.00,717923.32,
279,"07,05,2025","07,05,2025",1477.00,0.00,716446.32,
280,"09,05,2025","09,05,2025",0.00,6988.00,723434.32,
281,"13,05,2025","13,05,2025",1025.40,0.00,722408.92,
282,"13,05,2025","13,05,2025",0.00,1025.00,723433.92,
283,"15,05,2025","15,05,2025",5000.00,0.00,718433.92,
284,"17,05,2025","17,05,2025",15764.20,0.00,702669.72,
285,"17,05,2025","17,05,2025",2159.00,0.00,700510.72,
286,"17,05,2025","17,05,2025",250.00,0.00,700260.72,
287,"17,05,2025","17,05,2025",267.00,0.00,699993.72,
288,"17,05,2025","17,05,2025",245.00,0.00,699748.72,
289,"17,05,2025","17,05,2025",858.00,0.00,698890.72,
290,"17,05,2025","17,05,2025",210.00,0.00,698680.72,
291,"17,05,2025","17,05,2025",569.00,0.00,698111.72,
292,"18,05,2025","18,05,2025",100.00,0.00,698011.72,
293,"20,05,2025","20,05,2025",59.60,0.00,697952.12,
294,"21,05,2025","21,05,2025",55.00,0.00,697897.12,
295,"21,05,2025","21,05,2025",80.00,0.00,697817.12,
296,"22,05,2025","22,05,2025",40.00,0.00,697777.12,
297,"22,05,2025","22,05,2025",110.00,0.00,697667.12,
298,"27,05,2025","27,05,2025",2.00,0.00,697665.12,
299,"30,05,2025","30,05,2025",393.00,0.00,697272.12,
300,"31,05,2025","31,05,2025",0.00,118955.00,816227.12,
301,"31,05,2025","31,05,2025",2000.00,0.00,814227.12,
302,"31,05,2025","31,05,2025",1500.00,0.00,812727.12,
303,"02,06,2025","02,06,2025",65.00,0.00,812662.12,
304,"02,06,2025","02,06,2025",0.00,65.00,812727.12,
305,"04,06,2025","04,06,2025",19900.00,0.00,792827.12,
306,"05,06,2025","05,06,2025",36500.00,0.00,756327.12,
307,"05,06,2025","05,06,2025",0.00,20000.00,776327.12,
308,"05,06,2025","05,06,2025",168.00,0.00,776159.12,
309,"05,06,2025","05,06,2025",320.00,0.00,775839.12,
310,"07,06,2025","07,06,2025",0.00,201962.99,977802.11,
311,"07,06,2025","07,06,2025",599.00,0.00,977203.11,
312,"07,06,2025","07,06,2025",150.00,0.00,977053.11,
313,"07,06,2025","07,06,2025",300.00,0.00,976753.11,
314,"08,06,2025","08,06,2025",239.00,0.00,976514.11,
315,"08,06,2025","08,06,2025",2109.00,0.00,974405.11,
316,"08,06,2025","08,06,2025",599.00,0.00,973806.11,
317,"08,06,2025","08,06,2025",50.00,0.00,973756.11,
318,"09,06,2025","09,06,2025",186.00,0.00,973570.11,
319,"09,06,2025","09,06,2025",35.00,0.00,973535.11,
320,"09,06,2025","09,06,2025",104.00,0.00,973431.11,
321,"11,06,2025","11,06,2025",593.00,0.00,972838.11,
322,"11,06,2025","11,06,2025",25.00,0.00,972813.11,
323,"12,06,2025","12,06,2025",221.00,0.00,972592.11,
324,"12,06,2025","12,06,2025",159.00,0.00,972433.11,
325,"12,06,2025","12,06,2025",350.00,0.00,972083.11,
326,"12,06,2025","12,06,2025",2000.00,0.00,970083.11,
327,"15,06,2025","15,06,2025",220.00,0.00,969863.11,
328,"16,06,2025","16,06,2025",160.00,0.00,969703.11,
329,"16,06,2025","16,06,2025",35.00,0.00,969668.11,
330,"16,06,2025","16,06,2025",90.00,0.00,969578.11,
331,"17,06,2025","17,06,2025",619.00,0.00,968959.11,
332,"17,06,2025","17,06,2025",11000.00,0.00,957959.11,
333,"18,06,2025","18,06,2025",435.00,0.00,957524.11,
334,"19,06,2025","19,06,2025",110.00,0.00,957414.11,
335,"20,06,2025","20,06,2025",20.00,0.00,957394.11,
336,"20,06,2025","20,06,2025",60.00,0.00,957334.11,
337,"21,06,2025","21,06,2025",10.00,0.00,957324.11,
338,"21,06,2025","21,06,2025",95000.00,0.00,862324.11,
339,"21,06,2025","21,06,2025",4000.00,0.00,858324.11,
340,"22,06,2025","22,06,2025",150.00,0.00,858174.11,
,,,,,,
341,"24,06,2025","24,06,2025",110.00,0.00,858064.11,
342,"24,06,2025","24,06,2025",125.00,0.00,857939.11,
343,"24,06,2025","24,06,2025",660.00,0.00,857279.11,
344,"25,06,2025","25,06,2025",2300.00,0.00,854979.11,
345,"28,06,2025","28,06,2025",0.00,118955.00,973934.11,
346,"29,06,2025","29,06,2025",8999.00,0.00,964935.11,
347,"29,06,2025","29,06,2025",98.00,0.00,964837.11,
348,"29,06,2025","30,06,2025",0.00,5369.00,970206.11,
349,"30,06,2025","30,06,2025",115.00,0.00,970091.11,
350,"30,06,2025","30,06,2025",120.00,0.00,969971.11,
351,"30,06,2025","30,06,2025",110.00,0.00,969861.11,
352,"01,07,2025","01,07,2025",4000.00,0.00,965861.11,
353,"01,07,2025","01,07,2025",1.00,0.00,965860.11,
354,"01,07,2025","01,07,2025",1.00,0.00,965859.11,
355,"02,07,2025","02,07,2025",190.00,0.00,965669.11,
356,"03,07,2025","03,07,2025",150.00,0.00,965519.11,
357,"03,07,2025","03,07,2025",600.00,0.00,964919.11,
358,"03,07,2025","03,07,2025",60.00,0.00,964859.11,
359,"03,07,2025","03,07,2025",19900.00,0.00,944959.11,
360,"03,07,2025","03,07,2025",599.00,0.00,944360.11,
361,"03,07,2025","03,07,2025",1000.00,0.00,943360.11,
